Date,AAPL,backtest,backtest_2
2018-01-02,43.06499863,0,#VALUE!
2018-01-03,43.05749893,0,0
2018-01-04,43.25749969,1,1
2018-01-05,43.75,1,0
2018-01-08,43.58750153,0,0
2018-01-09,43.58250046,0,0
2018-01-10,43.57249832,0,0
2018-01-11,43.81999969,1,1
2018-01-12,44.27249908,1,0
2018-01-16,44.04750061,0,0
2018-01-17,44.77500153,1,1
2018-01-18,44.81499863,1,0
2018-01-19,44.61500168,0,0
2018-01-22,44.25,0,0
2018-01-23,44.25999832,1,1
2018-01-24,43.55500031,0,0
2018-01-25,42.77750015,0,0
2018-01-26,42.87749863,1,1
2018-01-29,41.99000168,0,0
2018-01-30,41.74250031,0,0
2018-01-31,41.85749817,1,1
2018-02-01,41.94499969,1,0
2018-02-02,40.125,0,0
2018-02-05,39.12250137,0,0
2018-02-06,40.75749969,1,1
2018-02-07,39.88499832,0,0
2018-02-08,38.78749847,0,0
2018-02-09,39.10250092,1,1
2018-02-12,40.67750168,1,0
2018-02-13,41.08499908,1,0
2018-02-14,41.84249878,1,0
2018-02-15,43.24750137,1,0
2018-02-16,43.10749817,0,0
2018-02-20,42.96250153,0,0
2018-02-21,42.76750183,0,0
2018-02-22,43.125,1,1
2018-02-23,43.875,1,0
2018-02-26,44.74250031,1,0
2018-02-27,44.59749985,0,0
2018-02-28,44.52999878,0,0
2018-03-01,43.75,0,0
2018-03-02,44.05250168,1,1
2018-03-05,44.20500183,1,0
2018-03-06,44.16749954,0,0
2018-03-07,43.75749969,0,0
2018-03-08,44.23500061,1,1
2018-03-09,44.99499893,1,0
2018-03-12,45.43000031,1,0
2018-03-13,44.99250031,0,0
2018-03-14,44.61000061,0,0
2018-03-15,44.66249847,1,1
2018-03-16,44.50500107,0,0
2018-03-19,43.82500076,0,0
2018-03-20,43.81000137,0,0
2018-03-21,42.81750107,0,0
2018-03-22,42.21250153,0,0
2018-03-23,41.23500061,0,0
2018-03-26,43.19250107,1,1
2018-03-27,42.08499908,0,0
2018-03-28,41.61999893,0,0
2018-03-29,41.94499969,1,1
2018-04-02,41.66999817,0,0
2018-04-03,42.09749985,1,1
2018-04-04,42.90250015,1,0
2018-04-05,43.20000076,1,0
2018-04-06,42.09500122,0,0
2018-04-09,42.51250076,1,1
2018-04-10,43.3125,1,0
2018-04-11,43.11000061,0,0
2018-04-12,43.53499985,1,1
2018-04-13,43.68249893,1,0
2018-04-16,43.95500183,1,0
2018-04-17,44.56000137,1,0
2018-04-18,44.45999908,0,0
2018-04-19,43.20000076,0,0
2018-04-20,41.43000031,0,0
2018-04-23,41.31000137,0,0
2018-04-24,40.73500061,0,0
2018-04-25,40.91249847,1,1
2018-04-26,41.05500031,1,0
2018-04-27,40.58000183,0,0
2018-04-30,41.31499863,1,1
2018-05-01,42.27500153,1,0
2018-05-02,44.14250183,1,0
2018-05-03,44.22249985,1,0
2018-05-04,45.95750046,1,0
2018-05-07,46.29000092,1,0
